Date,Sector,Close
2024-01-01,IT,100.67605698361348
2024-01-02,IT,100.58955897323824
2024-01-03,IT,101.45183907321167
2024-01-04,IT,103.38717070322228
2024-01-05,IT,103.17937898070578
2024-01-08,IT,102.97202521411694
2024-01-09,IT,105.00577973657084
2024-01-10,IT,106.0568053459396
2024-01-11,IT,105.54415934744826
2024-01-12,IT,106.31576319927576
2024-01-15,IT,105.80959254153832
2024-01-16,IT,105.30289611005468
2024-01-17,IT,105.69289036228598
2024-01-18,IT,103.35080324500447
2024-01-19,IT,101.29422416533825
2024-01-22,IT,100.6917817962828
2024-01-23,IT,99.54852997973744
2024-01-24,IT,100.00356312384018
2024-01-25,IT,98.99389825888703
2024-01-26,IT,97.39537999044651
2024-01-29,IT,99.18626531981862
2024-01-30,IT,98.99688743555866
2024-01-31,IT,99.1563059304457
2024-02-01,IT,97.5403577708777
2024-02-02,IT,96.98119862852076
2024-02-05,IT,97.18787245588409
2024-02-06,IT,95.92327134984806
2024-02-07,IT,96.43246816244041
2024-02-08,IT,95.81456128085767
2024-02-09,IT,95.55583082590462
2024-02-12,IT,94.9423165876251
2024-02-13,IT,97.1285854225192
2024-02-14,IT,97.1905566947061
2024-02-15,IT,96.03471497197428
2024-02-16,IT,97.05945713817758
2024-02-19,IT,95.71517164088678
2024-02-20,IT,96.03164075634444
2024-02-21,IT,93.85018202090116
2024-02-22,IT,92.42945613715702
2024-02-23,IT,92.7217490256572
2024-02-26,IT,93.61758937960776
2024-02-27,IT,93.88500047568505
2024-02-28,IT,93.8298168075012
2024-02-29,IT,93.56585060578077
2024-03-01,IT,91.98063327424842
2024-03-04,IT,91.25967706710448
2024-03-05,IT,90.82823186296963
2024-03-06,IT,92.05309296050612
2024-03-07,IT,92.50630895110544
2024-03-08,IT,90.62320595060403
2024-03-11,IT,91.04813885500957
2024-03-12,IT,90.70024506683819
2024-03-13,IT,90.03604136706504
2024-03-14,IT,90.76894513990266
2024-03-15,IT,91.96455316517498
2024-03-18,IT,93.06586192802071
2024-03-19,IT,92.20308459183735
2024-03-20,IT,91.9347230413414
2024-03-21,IT,92.3737261616122
2024-03-22,IT,93.52900200371465
2024-03-25,IT,93.0660249462989
2024-03-26,IT,92.93313525081155
2024-03-27,IT,91.77369962574814
2024-03-28,IT,90.52975489654422
2024-03-29,IT,91.48487186304297
2024-04-01,IT,93.04696510328537
2024-04-02,IT,93.04099879613076
2024-04-03,IT,94.23586803290347
2024-04-04,IT,94.72020574411779
2024-04-05,IT,94.06271139808358
2024-04-08,IT,94.54588777369973
2024-04-09,IT,96.36650487517794
2024-04-10,IT,96.40216891700753
2024-04-11,IT,98.2893111561736
2024-04-12,IT,95.27802730486967
2024-04-15,IT,96.2939607177592
2024-04-16,IT,96.47158116996769
2024-04-17,IT,96.20260989233304
2024-04-18,IT,96.38550349450847
2024-04-19,IT,94.16373793053798
2024-04-22,IT,93.99084740795796
2024-04-23,IT,94.4688238444814
2024-04-24,IT,96.21977784963893
2024-04-25,IT,95.69833952869816
2024-04-26,IT,94.84644025652369
2024-04-29,IT,94.35123897523734
2024-04-30,IT,95.46315185400648
2024-05-01,IT,95.91612578073307
2024-05-02,IT,95.38310812529991
2024-05-03,IT,96.0468991286383
2024-05-06,IT,96.23562461901986
2024-05-07,IT,97.43123098709128
2024-05-08,IT,96.68835320602375
2024-05-09,IT,96.3855305282387
2024-05-10,IT,96.00911632429221
2024-05-13,IT,94.39979429458096
2024-05-14,IT,94.81075844891284
2024-05-15,IT,95.18361723590152
2024-05-16,IT,95.26560473728793
2024-05-17,IT,95.07364019958293
2024-01-01,Pharma,98.91770340635966
2024-01-02,Pharma,98.63428810385024
2024-01-03,Pharma,98.41317802901838
2024-01-04,Pharma,97.83074737223657
2024-01-05,Pharma,97.7534331322207
2024-01-08,Pharma,98.11828871609592
2024-01-09,Pharma,99.6479025230716
2024-01-10,Pharma,99.8368969773392
2024-01-11,Pharma,100.09251968042835
2024-01-12,Pharma,100.08295410595696
2024-01-15,Pharma,98.59670525116509
2024-01-16,Pharma,98.62509015768882
2024-01-17,Pharma,98.72192438185286
2024-01-18,Pharma,100.71669335654754
2024-01-19,Pharma,100.61206002079676
2024-01-22,Pharma,100.90508044525501
2024-01-23,Pharma,100.92751223416161
2024-01-24,Pharma,100.03436185476156
2024-01-25,Pharma,100.99895144339352
2024-01-26,Pharma,101.65700650197134
2024-01-29,Pharma,102.35114652349291
2024-01-30,Pharma,101.65770730769607
2024-01-31,Pharma,102.84937498914226
2024-02-01,Pharma,101.74736363154841
2024-02-02,Pharma,102.2759266103454
2024-02-05,Pharma,104.11931160427905
2024-02-06,Pharma,103.34629957774808
2024-02-07,Pharma,102.92977452902714
2024-02-08,Pharma,103.06329615661151
2024-02-09,Pharma,102.69970892110724
2024-02-12,Pharma,101.47703731152701
2024-02-13,Pharma,101.58343637060344
2024-02-14,Pharma,100.77092839511232
2024-02-15,Pharma,101.20310865063793
2024-02-16,Pharma,100.5093214795777
2024-02-19,Pharma,101.8058389834068
2024-02-20,Pharma,101.21882383439605
2024-02-21,Pharma,101.00864374333196
2024-02-22,Pharma,101.71652623151049
2024-02-23,Pharma,100.76579055438637
2024-02-26,Pharma,100.99953489070224
2024-02-27,Pharma,102.1062011398938
2024-02-28,Pharma,100.84418218864681
2024-02-29,Pharma,101.04355828348534
